36,39
36,40
37,42
37,44
37,46
39,52
40,61
41,71
46,88
48,92
48,96
49,106
50,109
51,111
48,104
48,99
49,95
49,90
48,76
53,67
57,55
69,47
78,44
87,40
93,37
98,35
92,35
84,34
75,32
72,31
67,31
56,30
54,30
49,30
46,30
45,29
44,29
43,29
43,29
45,29
44,29
45,29
46,29
45,29
44,29
43,29
40,29
35,30
35,31
36,34
37,37
37,40
37,45
38,49
40,59
39,64
41,77
41,81
43,85
45,94
45,97
48,106
49,103
50,105
50,103
49,101
50,94
49,83
48,77
48,65
54,59
65,48
78,44
96,40
102,39
